CATEGORIA;Código SAP;DESCRIPCIÓN MATERIAL;PVC
;10008622;SECADORA GAS 21KG SEC-21FCR;593,1
;10026112;LAVADORA AUTOMATICA LRI-22DGR;548,1
AUDIO Y VIDEO;10015039;BARRA DE SONIDO SUB37;40,5
;10026107;PARLANTE CMI40;80,1
;10026108;PARLANTE INALÁMBRICO CMI70;161,1
;10027707;TV Indurama 32TIKHD Google Tv;193,5
;10027716;TV Indurama 32TMKPHD OnTheGo TV;593,1
;10027717;TV Blaupunkt 32TBKHD Android Tv 11;157,5
;10027709;TV Motorola 32TMKHD Google Tv;200,43
;10021832;TV Indurama 43TIKJUHD Google Tv;305,1
;10027718;TV Blaupunkt 43TBKFHD Android Tv 11;229,51
;10027710;TV Motorola 43TMKFHD Google Tv;259,61
;10021833;TV Indurama 50TIKGF2GUHD Google Tv;391,49
;10027719;TV Blaupunkt 50TBKHD Google Tv;341,1
;10027711;TV Motorola 50TMKUHD Google Tv;392,44
;10027720;TV Blaupunkt 55TBKHD Google Tv;400,5
;10027712;TV Motorola 55TMKUHD Google Tv;452,81
;10021834;TV Indurama 58TIKGF2GUHD Google Tv;449,1
;10021835;TV Indurama 65TIKGF2GUHD Google Tv;625,5
;10021838;TV Indurama 65TIKGF2GQLED Google Tv;652,5
;10027721;TV Blaupunkt 65TBKHD Google Tv;512,1
;10027713;TV Motorola 65TMKQLED Google Tv;659,3
;10021831;TV Indurama 86TIKJQLED Google Tv;1.448,10
;10027715;TV Motorola 86TMKQLED Google Tv;1.399,50
ELECTRODOMÉSTICOS MENORES;10000019;CAFETERA MCI-CR CON MOLINO;148,5
;10000388;CAFETERA CAF-BCI 12 TAZAS;26,11
;10008632;DISPEN CARGA INFERIOR DAI-5GCI RENOV;202,5
;10000046;EXTRACTOR EI-CR JUGO INDURAMA;80,1
;10026377;HORNO TOSTADOR 10L;35,1
;10026375;HORNO TOSTADOR DOBLE PUERTA;170,1
;10026374;HORNO PARA PIZZA A LA PIEDRA;80,1
;10000064;LICUADORA LI-CR LCD 1.5 L;80,1
;10000390;LICUADORA INOX LIC-PPC;41,4
;10000354;OLLA ARROCERA CROMA 1.8 LTS;37,8
;10026376;ASPIRADORA 3 EN 1;89,1
;10004071;ROBOT ASPIRADORA INTELIGENTE IND RAI-420;247,5
;10026373;SANDUCHERA PANINI;31,5
;10026113;VENTILADOR 3 EN 1;44,1
;10026372;AIRFRYER AFI 4.2L NG;76,5
;10026371;AIRFRYER AFI 4.5L NG;89,1
;10026370;AIRFRYER AFI 8L NG;121,5
;10008660;PLANCHA BASICA PLUS PI-280;26,11
MICROONDAS;10000066;MICRO 20L MWI-20BL;85,5
;10000067;MICRO 20L MWI-20CR.;94,5
;10000070;MICRO 30L MWI-30CR;134,1
;10000352;MICRO 30L MWI-30NE;134,1
;10000403;MICRO 25L MWI-25NE;287,1
CILINDROS;10000037;Cilindros de Gas;35,94
;10000038;Cilindros de gas azul;35,94
COMPUTADORAS;10028650;Tab M10 (3rd Gen);182,1
;10028651;Tab P11 (2nd Gen);358,34
;10028620;NB IP Slim 3 15IRU8 I3 8G 512G 11S;505,61
;10028621;NB IP Slim 3 15IRU8 I3 8G 512G NOS;448,96
;10028623;NB IP 3 15IAU7 I5 4G 8G 512G NOS;541,88
